new_index,id,title,author,year,publisher,issn,url,doi,abstract,keyword,pages,num_pages,publication_venue,content_type,source
126,,Chest X-ray Classification Using Deep Learning for Automated COVID-19 Screening,Ankita ShelkeMadhura InamdarVruddhi ShahAmanshu TiwariAafiya HussainTalha ChafekarNinad Mehendale,2021,,,http://link.springer.com/article/10.1007/s42979-021-00695-5,10.1007/s42979-021-00695-5,,,,,SN Computer Science,Article,Springer
127,,Canine Behavior Interpretation Framework Using Deep Graph Model,Jongmin LimDonghee KimKwangsu Kim,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-87986-0_9,10.1007/978-3-030-87986-0_9,,,,,Artificial Intelligence and Soft Computing,Chapter,Springer
128,,Hybrid Vision Transformer for Domain Adaptable Person Re-identification,Muhammad Danish WaseemMuhammad Atif TahirMuhammad Nouman Durrani,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-88113-9_9,10.1007/978-3-030-88113-9_9,,,,,Advances in Computational Collective Intelligence,Chapter,Springer
129,,A New Method for Binary Classification of Proteins with Machine Learning,Damiano PerriMarco SimonettiAndrea LombardiNoelia Faginas-LagoOsvaldo Gervasi,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-87016-4_29,10.1007/978-3-030-87016-4_29,,,,,Computational Science and Its Applications – ICCSA 2021,Chapter,Springer
130,,"Aggressive and Offensive Language Identification in Hindi, Bangla, and English: A Comparative Study",Ritesh KumarBornini LahiriAtul Kr. Ojha,2021,,,http://link.springer.com/article/10.1007/s42979-020-00414-6,10.1007/s42979-020-00414-6,,,,,SN Computer Science,Article,Springer
131,,A Simple yet Effective Unsupervised Adversarial Example Generation Framework for Vulnerability Assessment on Deep Learning,Rongkun ZhangDan LiuWentao ZhaoQiang LiuChengzhang Zhu,2021,,,http://link.springer.com/chapter/10.1007/978-981-16-1877-2_8,10.1007/978-981-16-1877-2_8,,,,,Theoretical Computer Science,Chapter,Springer
132,,Collision Avoidance Using Deep Learning-Based Monocular Vision,Róbert-Adrian RillKinga Bettina Faragó,2021,,,http://link.springer.com/article/10.1007/s42979-021-00759-6,10.1007/s42979-021-00759-6,,,,,SN Computer Science,Article,Springer
133,,Ornament Image Retrieval Using Multimodal Fusion,Sk Maidul IslamSubhankar JoardarDebi Prosad DograArif Ahmed Sekh,2021,,,http://link.springer.com/article/10.1007/s42979-021-00734-1,10.1007/s42979-021-00734-1,,,,,SN Computer Science,Article,Springer
134,,CNN Architectures for Geometric Transformation-Invariant Feature Representation in Computer Vision: A Review,Alhassan MumuniFuseini Mumuni,2021,,,http://link.springer.com/article/10.1007/s42979-021-00735-0,10.1007/s42979-021-00735-0,,,,,SN Computer Science,Article,Springer
135,,Informatics and Intelligent Applications,Sanjay MisraJonathan OlurantiAssoc. Prof. Robertas DamaševičiusRytis Maskeliunas,2022,,,http://link.springer.com/book/10.1007/978-3-030-95630-1,10.1007/978-3-030-95630-1,,,,,Communications in Computer and Information Science,Book,Springer
136,,Computational Science and Its Applications – ICCSA 2021,Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoCarmelo Maria Torre,2021,,,http://link.springer.com/book/10.1007/978-3-030-87016-4,10.1007/978-3-030-87016-4,,,,,Lecture Notes in Computer Science,Book,Springer
137,,Fake News Detection Using Deep Learning,Srishti SharmaMala SaraswatAnil Kumar Dubey,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-91305-2_19,10.1007/978-3-030-91305-2_19,,,,,Knowledge Graphs and Semantic Web,Chapter,Springer
138,,Speech Synthesis Using Stressed Sample Labels for Languages with Higher Degree of Phonemic Orthography,Arnas RadzevičiusAistis RaudysPijus Kasparaitis,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-88304-1_30,10.1007/978-3-030-88304-1_30,,,,,Information and Software Technologies,Chapter,Springer
139,,Teaching Real Robots: The Right Way to Set up Learning-Based Systems for Your Robot,Ali YounesArkady Yuschenko,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-88458-1_6,10.1007/978-3-030-88458-1_6,,,,,Modern Problems of Robotics,Chapter,Springer
140,,Combining Feature Selection Methods with BERT: An In-depth Experimental Study of Long Text Classification,Kai WangJiahui HuangYuqi LiuBin CaoJing Fan,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-67537-0_34,10.1007/978-3-030-67537-0_34,,,,,"Collaborative Computing: Networking, Applications and Worksharing",Chapter,Springer
141,,Dissecting Neural Networks Filter Responses for Artistic Style Transfer,Florian UhdeSanaz Mostaghim,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-72914-1_20,10.1007/978-3-030-72914-1_20,,,,,"Artificial Intelligence in Music, Sound, Art and Design",Chapter,Springer
142,,Optimized Item Selection to Boost Exploration for Recommender Systems,Serdar KadıoğluBernard KleynhansXin Wang,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-78230-6_27,10.1007/978-3-030-78230-6_27,,,,,"Integration of Constraint Programming, Artificial Intelligence, and Operations Research",Chapter,Springer
143,,Intelligent Information Systems,Selmin NurcanAxel Korthaus,2021,,,http://link.springer.com/book/10.1007/978-3-030-79108-7,10.1007/978-3-030-79108-7,,,,,Lecture Notes in Business Information Processing,Book,Springer
144,,"HCI International 2021 - Late Breaking Papers: Cognition, Inclusion, Learning, and Culture",Prof. Constantine StephanidisProf. Don HarrisProf. Wen-Chin LiDr. Dylan D. SchmorrowCali M. FidopiastisDr. Margherita AntonaProf. Qin GaoDr. Jia ZhouProf. Panayiotis ZaphirisAndri IoannouRobert A. SottilareJessica SchwarzProf. Matthias Rauterberg,2021,,,http://link.springer.com/book/10.1007/978-3-030-90328-2,10.1007/978-3-030-90328-2,,,,,Lecture Notes in Computer Science,Book,Springer
145,,Transparent Adaptation in Deep Medical Image Diagnosis,D. KolliasY. VlaxosM. SeferisI. KolliaL. SukissianJ. WingateS. Kollias,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-73959-1_22,10.1007/978-3-030-73959-1_22,,,,,"Trustworthy AI - Integrating Learning, Optimization and Reasoning",Chapter,Springer
146,,Automatically Producing Semantically Tagged Bilingual Terminologies,Jorge VivaldiHoracio Rodríguez,2021,,,http://link.springer.com/article/10.1007/s42979-021-00952-7,10.1007/s42979-021-00952-7,,,,,SN Computer Science,Article,Springer
147,,Deep Learning-Based Image Retrieval System with Clustering on Attention-Based Representations,Sumanth S. RaoShahid IkramParashara Ramesh,2021,,,http://link.springer.com/article/10.1007/s42979-021-00563-2,10.1007/s42979-021-00563-2,,,,,SN Computer Science,Article,Springer
148,,Software Foundations for Data Interoperability,Dr. George FletcherKeisuke NakanoDr. Yuya Sasaki,2022,,,http://link.springer.com/book/10.1007/978-3-030-93849-9,10.1007/978-3-030-93849-9,,,,,Communications in Computer and Information Science,Book,Springer
149,,A Light-Weight Deployment Methodology for DNN Re-training in Resource-Constraint Scenarios,Shuting SunSongtao GuoChunhua XiaoZilan Liao,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-85928-2_35,10.1007/978-3-030-85928-2_35,,,,,"Wireless Algorithms, Systems, and Applications",Chapter,Springer
150,,"Segmentation, Detection, and Classification of Cell Nuclei on Oral Cytology Samples Stained with Papanicolaou",André Victória MatiasAllan CerentiniLuiz Antonio Buschetto MacariniJoão Gustavo Atkinson AmorimFelipe Perozzo DaltoéAldo von Wangenheim,2021,,,http://link.springer.com/article/10.1007/s42979-021-00676-8,10.1007/s42979-021-00676-8,,,,,SN Computer Science,Article,Springer
151,,Mental Health Analysis of Indians During Pandemic,Pritul DaveKushal MasterPrince MakwanaParth GoelAmit Ganatra,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-91244-4_23,10.1007/978-3-030-91244-4_23,,,,,Data Science and Computational Intelligence,Chapter,Springer
152,,A Novel BGCapsule Network for Text Classification,Akhilesh Kumar GangwarVadlamani Ravi,2021,,,http://link.springer.com/article/10.1007/s42979-021-00963-4,10.1007/s42979-021-00963-4,,,,,SN Computer Science,Article,Springer
153,,A model-driven approach to machine learning and software modeling for the IoT,Armin MoinMoharram ChallengerAtta BadiiStephan Günnemann,2022,,,http://link.springer.com/article/10.1007/s10270-021-00967-x,10.1007/s10270-021-00967-x,,,,,Software and Systems Modeling,Article,Springer
154,,Implicit Aspect-Based Opinion Mining and Analysis of Airline Industry Based on User-Generated Reviews,Kanishk VermaBrian Davis,2021,,,http://link.springer.com/article/10.1007/s42979-021-00669-7,10.1007/s42979-021-00669-7,,,,,SN Computer Science,Article,Springer
155,,Deep Learning Architectures Applied to Mosquito Count Regressions in US Datasets,Cuauhtemoc Daniel Suarez-RamirezMario Alberto Duran-VegaHector M. Sanchez C.Miguel Gonzalez-MendozaLeonardo ChangJohn M. Marshall,2021,,,http://link.springer.com/chapter/10.1007/978-3-030-89817-5_15,10.1007/978-3-030-89817-5_15,,,,,Advances in Computational Intelligence,Chapter,Springer
