,id,title,author,year,issn,url,doi,abstract,keyword,pages,num_pages,content_type,publication_venue,publisher
10,,Towards Exploring the Limitations of Active Learning: An Empirical Study,Q. Hu; Y. Guo; M. Cordy; X. Xie; W. Ma; M. Papadakis; Y. L. Traon,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678672,10.1109/ASE51524.2021.9678672,"Deep neural networks (DNNs) are increasingly deployed as integral parts of software systems. However, due to the complex interconnections among hidden layers and massive hyperparameters, DNNs must be trained using a large number of labeled inputs, which calls for extensive human effort for collecting and labeling data. Spontaneously, to alleviate this growing demand, multiple state-of-the-art studies have developed different metrics to select a small yet informative dataset for the model training. These research works have demonstrated that DNN models can achieve competitive performance using a carefully selected small set of data. However, the literature lacks proper investigation of the limitations of data selection metrics, which is crucial to apply them in practice. In this paper, we fill this gap and conduct an extensive empirical study to explore the limits of data selection metrics. Our study involves 15 data selection metrics evaluated over 5 datasets (2 image classification tasks and 3 text classification tasks), 10 DNN architectures, and 20 labeling budgets (ratio of training data being labeled). Our findings reveal that, while data selection metrics are usually effective in producing accurate models, they may induce a loss of model robustness (against adversarial examples) and resilience to compression. Overall, we demonstrate the existence of a trade-off between labeling effort and different model qualities. This paves the way for future research in devising data selection metrics considering multiple quality criteria.",deep learning;data selection;active learning;empirical study,"917, 929",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
11,,DeepCVA: Automated Commit-level Vulnerability Assessment with Deep Multi-task Learning,T. H. Minh Le; D. Hin; R. Croft; M. Ali Babar,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678622,10.1109/ASE51524.2021.9678622,"It is increasingly suggested to identify Software Vulnerabilities (SVs) in code commits to give early warnings about potential security risks. However, there is a lack of effort to assess vulnerability-contributing commits right after they are detected to provide timely information about the exploitability, impact and severity of SVs. Such information is important to plan and prioritize the mitigation for the identified SVs. We propose a novel Deep multi-task learning model, DeepCVA, to automate seven Commit-level Vulnerability Assessment tasks simultaneously based on Common Vulnerability Scoring System (CVSS) metrics. We conduct large-scale experiments on 1,229 vulnerability-contributing commits containing 542 different SVs in 246 real-world software projects to evaluate the effectiveness and efficiency of our model. We show that DeepCVA is the best-performing model with 38% to 59.8% higher Matthews Correlation Coefficient than many supervised and unsupervised baseline models. DeepCVA also requires 6.3 times less training and validation time than seven cumulative assessment models, leading to significantly less model maintenance cost as well. Over-all, DeepCVA presents the first effective and efficient solution to automatically assess SVs early in software systems.",Software vulnerability;Vulnerability assessment;Deep learning;Multi-task learning;Mining software repositories;Software security,"717, 729",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
12,,On Multi-Modal Learning of Editing Source Code,S. Chakraborty; B. Ray,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678559,10.1109/ASE51524.2021.9678559,"In recent years, Neural Machine Translator (NMT) has shown promise in automatically editing source code. Typical NMT based code editor only considers the code that needs to be changed as input and suggests developers with a ranked list of patched code to choose from - where the correct one may not always be at the top of the list. While NMT based code editing systems generate a broad spectrum of plausible patches, the correct one depends on the developers’ requirement and often on the context where the patch is applied. Thus, if developers provide some hints, using natural language, or providing patch context, NMT models can benefit from them.As a proof of concept, in this research, we leverage three modalities of information: edit location, edit code context, commit messages (as a proxy of developers’ hint in natural language) to automatically generate edits with NMT models. To that end, we build Modit, a multi-modal NMT based code editing engine. With in-depth investigation and analysis, we show that developers’ hint as an input modality can narrow the search space for patches and outperform state-of-the-art models to generate correctly patched code in top-1 position.",Source Code Edit;Neural Networks;Automated Programming;Neural Machine Translator;Pretraining;Transformers,"443, 455",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
13,,Deep GUI: Black-box GUI Input Generation with Deep Learning,F. YazdaniBanafsheDaragh; S. Malek,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678778,10.1109/ASE51524.2021.9678778,"Despite the proliferation of Android testing tools, Google Monkey has remained the de facto standard for practitioners. The popularity of Google Monkey is largely due to the fact that it is a black-box testing tool, making it widely applicable to all types of Android apps, regardless of their underlying implementation details. An important drawback of Google Monkey, however, is the fact that it uses the most naive form of test input generation technique, i.e., random testing. In this work, we present Deep GUI, an approach that aims to complement the benefits of black-box testing with a more intelligent form of GUI input generation. Given only screenshots of apps, Deep GUI first employs deep learning to construct a model of valid GUI interactions. It then uses this model to generate effective inputs for an app under test without the need to probe its implementation details. Moreover, since the data collection, training, and inference processes are performed independent of the platform, the model inferred by Deep GUI has application for testing apps in other platforms as well. We implemented a prototype of Deep GUI in a tool called Monkey++ by extending Google Monkey and evaluated it for its ability to crawl Android apps. We found that Monkey++ achieves significant improvements over Google Monkey in cases where an app’s UI is complex, requiring sophisticated inputs. Furthermore, our experimental results demonstrate the model inferred using Deep GUI can be reused for effective GUI input generation across platforms without the need for retraining.",Android;GUI Testing;Deep Learning,"905, 916",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
14,,Unsupervised Labeling and Extraction of Phrase-based Concepts in Vulnerability Descriptions,S. Yitagesu; Z. Xing; X. Zhang; Z. Feng; X. Li; L. Han,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678638,10.1109/ASE51524.2021.9678638,"People usually describe the key characteristics of software vulnerabilities in natural language mixed with domain-specific names and concepts. This textual nature poses a significant challenge for the automatic analysis of vulnerabilities. Automatic extraction of key vulnerability aspects is highly desirable but demands significant effort to manually label data for model training. In this paper, we propose an unsupervised approach to label and extract important vulnerability concepts in textural vulnerability descriptions (TVDs). We focus on three types of phrase-based vulnerability concepts (root cause, attack vector, and impact) as they are much more difficult to label and extract than name- or number-based entities (i.e., vendor, product, and version). Our approach is based on a key observation that the same-type of phrases, no matter how they differ in sentence structures and phrase expressions, usually share syntactically similar paths in the sentence parsing trees. Therefore, we propose two path representations (absolute paths and relative paths) and use an auto-encoder to encode such syntactic similarities. To address the discrete nature of our paths, we enhance traditional Variational Auto-encoder (VAE) with Gumble-Max trick for categorical data distribution, and thus creates a Categorical VAE (CaVAE). In the latent space of absolute and relative paths, we further use FIt-TSNE and clustering techniques to generate clusters of the same-type of concepts. Our evaluation confirms the effectiveness of our CaVAE for encoding path representations and the accuracy of vulnerability concepts in the resulting clusters. In a concept classification task, our unsupervisedly labeled vulnerability concepts outperform the two manually labeled datasets from previous work.",Textual Vulnerability Descriptions;Vulnerability Concepts;Unsupervised Representation Learning;Concept Labeling and Extraction,"943, 954",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
15,,Assessing Robustness of ML-Based Program Analysis Tools using Metamorphic Program Transformations,L. Applis; A. Panichella; A. van Deursen,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678706,10.1109/ASE51524.2021.9678706,"Metamorphic testing is a well-established testing technique that has been successfully applied in various domains, including testing deep learning models to assess their robustness against data noise or malicious input. Currently, metamorphic testing approaches for machine learning (ML) models focused on image processing and object recognition tasks. Hence, these approaches cannot be applied to ML targeting program analysis tasks. In this paper, we extend metamorphic testing approaches for ML models targeting software programs. We present LAMPION, a novel testing framework that applies (semantics preserving) metamorphic transformations on the test datasets. LAMPION produces new code snippets equivalent to the original test set but different in their identifiers or syntactic structure. We evaluate LAMPION against CodeBERT, a state-of-the-art ML model for Code-To-Text tasks that creates Javadoc summaries for given Java methods. Our results show that simple transformations significantly impact the target model behavior, providing additional information on the models reasoning apart from the classic performance metric.",metamorphic testing;machine learning in software engineering;documentation-generation,"1377, 1381",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
16,,Can Neural Clone Detection Generalize to Unseen Functionalitiesƒ,C. Liu; Z. Lin; J. -G. Lou; L. Wen; D. Zhang,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678907,10.1109/ASE51524.2021.9678907,"Many recently proposed code clone detectors exploit neural networks to capture latent semantics of source code, thus achieving impressive results for detecting semantic clones. These neural clone detectors rely on the availability of large amounts of labeled training data. We identify a key oversight in the current evaluation methodology for neural clone detection: cross-functionality generalization (i.e., detecting semantic clones of which the functionalities are unseen in training). Specifically, we focus on this question: do neural clone detectors truly learn the ability to detect semantic clones, or they just learn how to model specific functionalities in training data while cannot generalize to realistic unseen functionalitiesƒ This paper investigates how the generalizability can be evaluated and improved.Our contributions are 3-folds: (1) We propose an evaluation methodology that can systematically measure the cross-functionality generalizability of neural clone detection. Based on this evaluation methodology, an empirical study is conducted and the results indicate that current neural clone detectors cannot generalize well as expected. (2) We conduct empirical analysis to understand key factors that can impact the generalizability. We investigate 3 factors: training data diversity, vocabulary, and locality. Results show that the performance loss on unseen functionalities can be reduced through addressing the out-of-vocabulary problem and increasing training data diversity. (3) We propose a human-in-the-loop mechanism that help adapt neural clone detectors to new code repositories containing lots of unseen functionalities. It improves annotation efficiency with the combination of transfer learning and active learning. Experimental results show that it reduces the amount of annotations by about 88%. Our code and data are publicly available<sup>1</sup>.",Code Clone Detection;Generalization;Neural Network;Evaluation Methodology;Human-in-the-Loop,"617, 629",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
17,,Using Version Control and Issue Tickets to detect Code Debt and Economical Cost,A. Al Maruf; N. Lambaria; A. S. Abdelfattah; T. Cerny,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678532,10.1109/ASE51524.2021.9678532,"Despite the fact that there are numerous classifications of technical debt based on various criteria, Code Debt or code smells is a category that appears in the majority of current research. One of the primary causes of code debt is the urgency to deliver software quickly, as well as bad coding practices. Among many approaches, static code analysis has received the most attention in studies to detect code-smell/code debt. However, most of them examine the same programming language, although today’s software company utilizes many development stacks with various languages and tools. This problem can be resolved by detecting code debt with Issue/Ticket cards. This paper presents a method for detecting code debt leveraging natural language processing on issue tickets. It also proposes a method for calculating the average amount of time that a code debt was present in the software. This method is implemented utilizing git mining.",Code Debt;Code Smell;Architectural Degradation;Technical Debt;Economical-Cost;Version Control;Issue Ticket,"1208, 1209",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
18,,Automating User Notice Generation for Smart Contract Functions,X. Hu; Z. Gao; X. Xia; D. Lo; X. Yang,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678552,10.1109/ASE51524.2021.9678552,"Smart contracts have obtained much attention and are crucial for automatic financial and business transactions. For end-users who have never seen the source code, they can read the user notice shown in end-user client to understand what a transaction does of a smart contract function. However, due to time constraints or lack of motivation, user notice is often missing during the development of smart contracts. For end-users who lack the information of the user notices, there is no easy way for them to check the code semantics of the smart contracts. Thus, in this paper, we propose a new approach SMARTDOC to generate user notice for smart contract functions automatically. Our tool can help end-users better understand the smart contract and aware of the financial risks, improving the users’ confidence on the reliability of the smart contracts. SMARTDOC exploits the Transformer to learn the representation of source code and generates natural language descriptions from the learned representation. We also integrate the Pointer mechanism to copy words from the input source code instead of generating words during the prediction process. We extract 7,878 〈function, notice〉 pairs from 54,739 smart contracts written in Solidity. Due to the limited amount of collected smart contract functions (i.e., 7,878 functions), we exploit a transfer learning technique to utilize the learned knowledge to improve the performance of SMARTDOC. The learned knowledge obtained by the pre-training on a corpus of Java code, that has similar characteristics as Solidity code. The experimental results show that our approach can effectively generate user notice given the source code and significantly outperform the state-of-the-art approaches. To investigate human perspectives on our generated user notice, we also conduct a human evaluation and ask participants to score user notice generated by different approaches. Results show that SMARTDOC outperforms baselines from three aspects, naturalness, informativeness, and similarity.",Smart Contract;User Notice Generation;Deep Learning,"5, 17",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
19,,Finding A Needle in a Haystack: Automated Mining of Silent Vulnerability Fixes,J. Zhou; M. Pacheco; Z. Wan; X. Xia; D. Lo; Y. Wang; A. E. Hassan,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678720,10.1109/ASE51524.2021.9678720,"Following the coordinated vulnerability disclosure model, a vulnerability in open source software (OSS) is sug-gested to be fixed ""silently"", without disclosing the fix until the vulnerability is disclosed. Yet, it is crucial for OSS users to be aware of vulnerability fixes as early as possible, as once a vulnerability fix is pushed to the source code repository, a malicious party could probe for the corresponding vulnerability to exploit it. In practice, OSS users often rely on the vulnerability disclosure information from security advisories (e.g., National Vulnerability Database) to sense vulnerability fixes. However, the time between the availability of a vulnerability fix and its disclosure can vary from days to months, and in some cases, even years. Due to manpower constraints and the lack of expert knowledge, it is infeasible for OSS users to manually analyze all code changes for vulnerability fix detection. Therefore, it is essential to identify vulnerability fixes automatically and promptly. In a first-of-its-kind study, we propose VulFixMiner, a Transformer-based approach, capable of automatically extracting semantic meaning from commit-level code changes to identify silent vulnerability fixes. We construct our model using sampled commits from 204 projects, and evaluate using the full set of commits from 52 additional projects. The evaluation results show that VulFixMiner outperforms various state-of-the-art baselines in terms of AUC (i.e., 0.81 and 0.73 on Java and Python dataset, respectively) and two effort-aware performance metrics (i.e., EffortCost, P<inf>opt</inf>). Especially, with an effort of inspecting 5% of total LOC, VulFixMiner can identify 49% of total vulnerability fixes. Additionally, with manual verification of sampled commits that were identified as vulnerability fixes, but not marked as such in our dataset, we observe that 35% (29 out of 82) of the commits are for fixing vulnerabilities, indicating VulFixMiner is also capable of identifying unreported vulnerability fixes.",Software Security;Vulnerability Fix;Open Source Software;Deep Learning,"705, 716",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
20,,Cross-Lingual Transfer Learning Framework for Program Analysis,Z. Li,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678848,10.1109/ASE51524.2021.9678848,"Deep learning-based techniques have been widely applied to program analysis tasks, in fields such as type inference, fault localization, and code summarization. Hitherto deep learning-based software engineering systems rely thoroughly on supervised learning approaches, which require laborious manual effort to collect and label a prohibitively large amount of data. However, most Turing-complete imperative languages share similar control- and data-flow structures, which make it possible to transfer knowledge learned from one language to another. In this paper, we propose a general cross-lingual transfer learning framework PLATO for program analysis by using a series of techniques that are general to different downstream tasks. PLATO allows Bert-based models to leverage prior knowledge learned from the labeled dataset of one language and transfer it to the others. We evaluate our approaches on several downstream tasks such as type inference and code summarization to demonstrate its feasibility.",program analysis;transfer learning;domain adaptation;deep learning;graph kernel,"1074, 1078",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
21,,A Prediction Model for Software Requirements Change Impact,K. Zamani,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678582,10.1109/ASE51524.2021.9678582,"Software requirements Change Impact Analysis (CIA) is a pivotal process in requirements engineering (RE) since changes to requirements are inevitable. When a requirement change is requested, its impact on all software artefacts has to be investigated to accept or reject the request. Manually performed CIA in large-scale software development is time-consuming and error-prone so, automating this analysis can improve the process of requirements change management. The main goal of this research is to apply a combination of Machine Learning (ML) and Natural Language Processing (NLP) based approaches to develop a prediction model for forecasting the requirement change impact on other requirements in the specification document. The proposed prediction model will be evaluated using appropriate datasets for accuracy and performance. The resulting tool will support project managers to perform automated change impact analysis and make informed decisions on the acceptance or rejection of requirement change requests.",Change impact analysis;Software requirements change;Machine learning;RE,"1028, 1032",,IEEE Conferences,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE
